"","electoral_district_name_nom_de_circonscription","elected_party"
"142","Glengarry--Prescott--Russell","Liberal"
"143","Guelph","Liberal"
"144","Haldimand--Norfolk","Conservative"
"145","Haliburton--Kawartha Lakes--Brock","Conservative"
"146","Hamilton Centre/Hamilton-Centre","NDP"
"147","Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek","Liberal"
"148","Hamilton Mountain","Liberal"
"149","Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas","Liberal"
"150","Hastings--Lennox and Addington","Conservative"
"151","Humber River--Black Creek","Liberal"
"152","Huron--Bruce","Conservative"
"153","Kanata--Carleton","Liberal"
"154","Kenora","Conservative"
"155","King--Vaughan","Conservative"
"156","Kingston and the Islands/Kingston et les Îles","Liberal"
"157","Kitchener Centre/Kitchener-Centre","Green Party"
"158","Kitchener South--Hespeler/Kitchener-Sud--Hespeler","Liberal"
"159","Kitchener--Conestoga","Liberal"
"160","Lambton--Kent--Middlesex","Conservative"
"161","Lanark--Frontenac--Kingston","Conservative"
"162","Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes","Conservative"
"163","London North Centre/London-Centre-Nord","Liberal"
"164","London West/London-Ouest","Liberal"
"165","London--Fanshawe","NDP"
"166","Markham--Stouffville","Liberal"
"167","Markham--Thornhill","Liberal"
"168","Markham--Unionville","Liberal"
"169","Milton","Liberal"
"170","Mississauga Centre/Mississauga-Centre","Liberal"
"171","Mississauga East--Cooksville/Mississauga-Est--Cooksville","Liberal"
"172","Mississauga--Erin Mills","Liberal"
"173","Mississauga--Lakeshore","Liberal"
"174","Mississauga--Malton","Liberal"
"175","Mississauga--Streetsville","Liberal"
"176","Nepean","Liberal"
"177","Newmarket--Aurora","Liberal"
"178","Niagara Centre/Niagara-Centre","Liberal"
"179","Niagara Falls","Conservative"
"180","Niagara West/Niagara-Ouest","Conservative"
"181","Nickel Belt","Liberal"
"182","Nipissing--Timiskaming","Liberal"
"183","Northumberland--Peterborough South/Northumberland--Peterborough-Sud","Conservative"
"184","Oakville","Liberal"
"185","Oakville North--Burlington/Oakville-Nord--Burlington","Liberal"
"186","Orléans","Liberal"
"187","Oshawa","Conservative"
"188","Ottawa Centre/Ottawa-Centre","Liberal"
"189","Ottawa South/Ottawa-Sud","Liberal"
"190","Ottawa West--Nepean/Ottawa-Ouest--Nepean","Liberal"
"191","Ottawa--Vanier","Liberal"
"192","Oxford","Conservative"
"193","Parkdale--High Park","Liberal"
"194","Parry Sound--Muskoka","Conservative"
"195","Perth--Wellington","Conservative"
"196","Peterborough--Kawartha","Conservative"
"197","Pickering--Uxbridge","Liberal"
"198","Renfrew--Nipissing--Pembroke","Conservative"
"199","Richmond Hill","Liberal"
"200","St. Catharines","Liberal"
"201","Sarnia--Lambton","Conservative"
"202","Sault Ste. Marie","Liberal"
"203","Scarborough Centre/Scarborough-Centre","Liberal"
"204","Scarborough North/Scarborough-Nord","Liberal"
"205","Scarborough Southwest/Scarborough-Sud-Ouest","Liberal"
"206","Scarborough--Agincourt","Liberal"
"207","Scarborough--Guildwood","Liberal"
"208","Scarborough--Rouge Park","Liberal"
"209","Simcoe North/Simcoe-Nord","Conservative"
"210","Simcoe--Grey","Conservative"
"211","Spadina--Fort York","Liberal"
"212","Stormont--Dundas--South Glengarry","Conservative"
"213","Sudbury","Liberal"
"214","Thornhill","Conservative"
"215","Thunder Bay--Rainy River","Liberal"
"216","Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord","Liberal"
"217","Timmins--James Bay/Timmins--Baie James","NDP"
"218","Toronto Centre/Toronto-Centre","Liberal"
"219","Toronto--Danforth","Liberal"
"220","Toronto--St. Paul's","Liberal"
"221","University--Rosedale","Liberal"
"222","Vaughan--Woodbridge","Liberal"
"223","Waterloo","Liberal"
"224","Wellington--Halton Hills","Conservative"
"225","Whitby","Liberal"
"226","Willowdale","Liberal"
"227","Windsor West/Windsor-Ouest","NDP"
"228","Windsor--Tecumseh","Liberal"
"229","York Centre/York-Centre","Liberal"
"230","York South--Weston/York-Sud--Weston","Liberal"
"231","York--Simcoe","Conservative"
"232","Brandon--Souris","Conservative"
"233","Charleswood--St. James--Assiniboia--Headingley","Conservative"
"234","Churchill--Keewatinook Aski","NDP"
"235","Dauphin--Swan River--Neepawa","Conservative"
"236","Elmwood--Transcona","NDP"
"237","Kildonan--St. Paul","Conservative"
"238","Portage--Lisgar","Conservative"
"239","Provencher","Conservative"
"240","Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital","Liberal"
"241","Selkirk--Interlake--Eastman","Conservative"
"242","Winnipeg Centre/Winnipeg-Centre","NDP"
"243","Winnipeg North/Winnipeg-Nord","Liberal"
"244","Winnipeg South/Winnipeg-Sud","Liberal"
"245","Winnipeg South Centre/Winnipeg-Centre-Sud","Liberal"
"246","Battlefords--Lloydminster","Conservative"
"247","Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek","Conservative"
"248","Cypress Hills--Grasslands","Conservative"
"249","Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill","Conservative"
"250","Moose Jaw--Lake Centre--Lanigan","Conservative"
"251","Prince Albert","Conservative"
"252","Regina--Lewvan","Conservative"
"253","Regina--Qu'Appelle","Conservative"
"254","Regina--Wascana","Conservative"
"255","Saskatoon West/Saskatoon-Ouest","Conservative"
"256","Saskatoon--Grasswood","Conservative"
"257","Saskatoon--University","Conservative"
"258","Souris--Moose Mountain","Conservative"
"259","Yorkton--Melville","Conservative"
"260","Banff--Airdrie","Conservative"
"261","Battle River--Crowfoot","Conservative"
"262","Bow River","Conservative"
"263","Calgary Centre/Calgary-Centre","Conservative"
"264","Calgary Confederation","Conservative"
"265","Calgary Forest Lawn","Conservative"
"266","Calgary Heritage","Conservative"
"267","Calgary Midnapore","Conservative"
"268","Calgary Nose Hill","Conservative"
"269","Calgary Rocky Ridge","Conservative"
"270","Calgary Shepard","Conservative"
"271","Calgary Signal Hill","Conservative"
"272","Calgary Skyview","Liberal"
"273","Edmonton Centre/Edmonton-Centre","Liberal"
"274","Edmonton Griesbach","NDP"
"275","Edmonton Manning","Conservative"
"276","Edmonton Mill Woods","Conservative"
"277","Edmonton Riverbend","Conservative"
"278","Edmonton Strathcona","NDP"
"279","Edmonton West/Edmonton-Ouest","Conservative"
"280","Edmonton--Wetaskiwin","Conservative"
"281","Foothills","Conservative"
"282","Fort McMurray--Cold Lake","Conservative"
"283","Grande Prairie--Mackenzie","Conservative"
"284","Lakeland","Conservative"
"285","Lethbridge","Conservative"
"286","Medicine Hat--Cardston--Warner","Conservative"
"287","Peace River--Westlock","Conservative"
"288","Red Deer--Lacombe","Conservative"
"289","Red Deer--Mountain View","Conservative"
"290","St. Albert--Edmonton","Conservative"
"291","Sherwood Park--Fort Saskatchewan","Conservative"
"292","Sturgeon River--Parkland","Conservative"
"293","Yellowhead","Conservative"
"294","Abbotsford","Conservative"
"295","Burnaby North--Seymour/Burnaby-Nord--Seymour","Liberal"
"296","Burnaby South/Burnaby-Sud","NDP"
"297","Cariboo--Prince George","Conservative"
"298","Central Okanagan--Similkameen--Nicola","Conservative"
"299","Chilliwack--Hope","Conservative"
"300","Cloverdale--Langley City","Liberal"
"301","Coquitlam--Port Coquitlam","Liberal"
"302","Courtenay--Alberni","NDP"
"303","Cowichan--Malahat--Langford","NDP"
"304","Delta","Liberal"
"305","Esquimalt--Saanich--Sooke","NDP"
"306","Fleetwood--Port Kells","Liberal"
"307","Kamloops--Thompson--Cariboo","Conservative"
"308","Kelowna--Lake Country","Conservative"
"309","Kootenay--Columbia","Conservative"
"310","Langley--Aldergrove","Conservative"
"311","Mission--Matsqui--Fraser Canyon","Conservative"
"312","Nanaimo--Ladysmith","NDP"
"313","New Westminster--Burnaby","NDP"
"314","North Island--Powell River","NDP"
"315","North Okanagan--Shuswap","Conservative"
"316","North Vancouver","Liberal"
"317","Pitt Meadows--Maple Ridge","Conservative"
"318","Port Moody--Coquitlam","NDP"
"319","Prince George--Peace River--Northern Rockies","Conservative"
"320","Richmond Centre/Richmond-Centre","Liberal"
"321","Saanich--Gulf Islands","Green Party"
"322","Skeena--Bulkley Valley","NDP"
"323","South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest","NDP"
"324","South Surrey--White Rock/Surrey-Sud--White Rock","Conservative"
"325","Steveston--Richmond East/Steveston--Richmond-Est","Liberal"
"326","Surrey Centre/Surrey-Centre","Liberal"
"327","Surrey--Newton","Liberal"
"328","Vancouver Centre/Vancouver-Centre","Liberal"
"329","Vancouver East/Vancouver-Est","NDP"
"330","Vancouver Granville","Liberal"
"331","Vancouver Kingsway","NDP"
"332","Vancouver Quadra","Liberal"
"333","Vancouver South/Vancouver-Sud","Liberal"
"334","Victoria","NDP"
"335","West Vancouver--Sunshine Coast--Sea to Sky Country","Liberal"
"336","Yukon","Liberal"
"337","Northwest Territories/Territoires du Nord-Ouest","Liberal"
"338","Nunavut","NDP"
